Date;Close;Volume;Open;High;Low
12/23/2021;1166.89;--;1164.93;1182.73;1164.93
12/22/2021;1164.93;--;1159.9;1174.05;1147.02
12/21/2021;1159.9;--;1120.65;1162.43;1120.65
12/20/2021;1120.65;--;1134.87;1134.87;1092.88
12/17/2021;1134.87;--;1158.75;1158.75;1129.71
12/16/2021;1158.75;--;1150.29;1176.51;1150.29
12/15/2021;1150.29;--;1149.18;1154.46;1124.17
12/14/2021;1149.18;--;1153.31;1165.65;1146.32
12/13/2021;1153.31;--;1184.38;1184.38;1150.02
12/10/21;1184.38;--;1177.11;1187.2;1169.46
12/09/21;1177.11;--;1188.89;1188.89;1171.34
12/08/21;1188.89;--;1185.75;1200.74;1185.75
12/07/21;1185.75;--;1164.71;1197.64;1164.71
12/06/21;1164.71;--;1143.11;1174.52;1143.11
12/03/21;1143.11;--;1151.91;1169.89;1134.15
12/02/21;1151.91;--;1116.17;1155.64;1111.75
12/01/21;1116.17;--;1124.44;1161.58;1116.17
11/30/2021;1124.44;--;1144.14;1144.14;1119.01
11/29/2021;1144.14;--;1135.71;1171.11;1135.71
11/26/2021;1135.71;--;1187.02;1187.02;1113.43
11/24/2021;1187.02;--;1177.98;1191.17;1171.65
11/23/2021;1177.98;--;1143.98;1180.11;1143.98
11/22/2021;1143.98;--;1127.64;1159.03;1126.17
11/19/2021;1127.64;--;1173.51;1173.51;1125.41
11/18/2021;1173.51;--;1180.67;1181.77;1160.75
11/17/2021;1180.67;--;1197.63;1201.26;1177.8
11/16/2021;1197.63;--;1195.35;1207.52;1195.35
11/15/2021;1195.35;--;1183.27;1201.42;1176.59
11/12/21;1183.27;--;1188.02;1188.02;1177.43
11/11/21;1188.02;--;1186.92;1197.59;1186.92
11/10/21;1186.92;--;1220.83;1220.83;1181.35
11/09/21;1220.83;--;1213.93;1220.93;1203.24
11/08/21;1213.93;--;1203.32;1224.37;1203.32
11/05/21;1203.32;--;1184.83;1206.99;1184.83
11/04/21;1184.83;--;1182.43;1202.22;1177.47
11/03/21;1182.43;--;1196.35;1196.35;1176.45
11/02/21;1196.35;--;1213.44;1213.44;1194.24
11/01/21;1213.44;--;1196.71;1217.49;1196.71
10/29/2021;1196.71;--;1206.83;1210.4;1192.67
10/28/2021;1206.83;--;1201.58;1208.07;1193.83
10/27/2021;1201.58;--;1230.89;1230.89;1199.82
10/26/2021;1230.89;--;1225.74;1234.2;1222.87
10/25/2021;1225.74;--;1209.9;1232.49;1209.9
10/22/2021;1209.9;--;1204.5;1211;1194.73
10/21/2021;1204.5;--;1224.96;1224.96;1196.43
10/20/2021;1224.96;--;1214.54;1225.6;1205.7
10/19/2021;1214.54;--;1202.07;1217.79;1202.07
10/18/2021;1202.07;--;1202.34;1215.66;1197.79
10/15/2021;1202.34;--;1194.85;1211.01;1194.85
10/14/2021;1194.85;--;1182.37;1200.84;1182.37
10/13/2021;1182.37;--;1179.89;1187.84;1164.09
10/12/21;1179.89;--;1182.34;1191.53;1175.47
10/11/21;1182.34;--;1184.07;1203.93;1182.04
10/08/21;1184.07;--;1153.51;1186.51;1153.51
10/07/21;1153.51;--;1148.11;1159.14;1140.57
10/06/21;1148.11;--;1162.55;1162.55;1130.05
10/05/21;1162.55;--;1148.77;1178.12;1148.77
10/04/21;1148.77;--;1132.9;1158.51;1132.9
10/01/21;1132.9;--;1103.21;1134.14;1103.21
09/30/2021;1103.21;--;1108.48;1118.71;1099.37
09/29/2021;1108.48;--;1111.54;1114.48;1095.18
09/28/2021;1111.54;--;1105.62;1129.05;1105.62
09/27/2021;1105.62;--;1069.7;1109.06;1069.7
09/24/2021;1069.7;--;1065.87;1073.68;1057.52
09/23/2021;1065.87;--;1037.97;1067.76;1037.97
09/22/2021;1037.97;--;1007.92;1051.3;1007.92
09/21/2021;1007.92;--;9.974.976;1016.96;9.974.976
09/20/2021;997.497;--;1022.55;1022.55;9.828.458
09/17/2021;1022.55;--;1028.27;1036.86;1018.31
09/16/2021;1028.27;--;1040.1;1040.1;1021.53
09/15/2021;1040.1;--;9.975.219;1040.67;9.975.219
09/14/2021;997.521;--;1014.16;1026.26;9.941.833
09/13/2021;1014.16;--;980.634;1017.07;980.634
9/10/21;980.634;--;9.820.257;9.985.325;9.803.673
9/09/21;982.025;--;9.817.717;9.967.598;971.168
9/08/21;981.771;--;1000.01;1007.5;9.814.734
9/07/21;1000.01;--;1002.26;1013.33;9.951.305
9/03/21;1002.26;--;1007.31;1012.49;9.958.387
9/02/21;1007.31;--;9.827.988;1017.96;9.827.988
9/01/21;982.798;--;9.986.374;1002.21;9.797.563
08/31/2021;998.659;--;1001.13;1007.29;9.920.325
08/30/2021;1001.13;--;1010.76;1018.3;1001.09
08/27/2021;1010.76;--;9.805.015;1016.39;9.805.015
08/26/2021;980.501;--;9.972.347;9.972.347;978.805
08/25/2021;997.234;--;9.887.853;1001.59;9.812.085
08/24/2021;988.785;--;9.719.305;9.922.708;9.719.305
08/23/2021;971.930;--;9.337.036;9.737.743;9.337.036
08/20/2021;933.703;--;9.316.161;9.377.156;9.186.659
08/19/2021;931.616;--;9.577.708;9.577.708;9.183.828
08/18/2021;957.770;--;9.783.366;9.859.514;9.571.135
08/17/2021;978.336;--;990.199;9.952.079;9.716.984
08/16/2021;990.199;--;1013.07;1013.07;9.848.382
08/13/2021;1013.07;--;1030.52;1030.52;1012.12
8/12/21;1030.52;--;1031.3;1034.44;1018.13
8/11/21;1031.3;--;1023.31;1032.6;1014.06
8/10/21;1023.31;--;1008.69;1025.8;1008.69
8/09/21;1008.69;--;1023.91;1023.91;1001.93
8/06/21;1023.91;--;1016.64;1032.68;1016.64
8/05/21;1016.64;--;9.985.712;1028.26;9.985.712
8/04/21;998.571;--;1035.57;1035.57;9.980.686
8/03/21;1035.57;--;1009.33;1036.74;1002.63
8/02/21;1009.33;--;1018.18;1045.15;1009.06
07/30/2021;1018.18;--;1034.78;1034.78;1011.02
07/29/2021;1034.78;--;1028.6;1045.56;1028.6
07/28/2021;1028.6;--;1013.14;1035.85;1010.01
07/27/2021;1013.14;--;1024.42;1024.42;1003.13
07/26/2021;1024.42;--;1000.57;1029.52;1000.57
07/23/2021;1000.57;--;1007.44;1007.44;9.920.155
07/22/2021;1007.44;--;1017.44;1017.44;9.984.275
07/21/2021;1017.44;--;9.805.567;1024.93;9.805.567
07/20/2021;980.556;--;9.692.576;990.152;9.587.645
07/19/2021;969.257;--;1010.33;1010.33;958.212
07/16/2021;1010.33;--;1040.09;1047.65;1008
07/15/2021;1040.09;--;1059.16;1059.16;1035.95
07/14/2021;1059.16;--;1094.69;1109.98;1055.88
07/13/2021;1094.69;--;1101.75;1103.57;1086.76
7/12/21;1101.75;--;1103.88;1109.51;1083.93
7/09/21;1103.88;--;1083.85;1105.36;1083.85
7/08/21;1083.85;--;1095.1;1095.1;1068.4
7/07/21;1095.1;--;1118.6;1124.75;1085.48
7/06/21;1118.6;--;1158.63;1158.63;1115.6
7/02/21;1158.63;--;1163.2;1163.56;1147.47
7/01/21;1163.2;--;1138.65;1172.38;1138.65
06/30/2021;1138.65;--;1125.6;1144.89;1125.6
06/29/2021;1125.6;--;1131.88;1143.48;1124.27
06/28/2021;1131.88;--;1175.77;1175.77;1128.65
06/25/2021;1175.77;--;1166.34;1176.29;1163.74
06/24/2021;1166.34;--;1150.44;1167.79;1149.56
06/23/2021;1150.44;--;1146.61;1175.66;1146.61
06/22/2021;1146.61;--;1141;1151.63;1125.32
06/21/2021;1141;--;1090.6;1143.26;1090.6
06/18/2021;1090.6;--;1122.39;1122.39;1090.6
06/17/2021;1122.39;--;1160.88;1165.66;1106.92
06/16/2021;1160.88;--;1171.66;1174.25;1152.37
06/15/2021;1171.66;--;1150.9;1173;1150.9
06/14/2021;1150.9;--;1149;1167.25;1142.15
6/11/21;1149;--;1149.67;1162.7;1148.12
6/10/21;1149.67;--;1149.85;1173.12;1139.01
6/09/21;1149.85;--;1160.25;1168.46;1149.79
6/08/21;1160.25;--;1149.84;1162.46;1129.81
6/07/21;1149.84;--;1152.08;1157.99;1148.06
6/04/21;1152.08;--;1144.11;1155.67;1136.06
6/03/21;1144.11;--;1145.09;1151.88;1133.32
6/02/21;1145.09;--;1127.3;1151.81;1121.36
6/01/21;1127.3;--;1082.59;1128.56;1082.59
05/28/2021;1082.59;--;1081.08;1086.78;1077.62
05/27/2021;1081.08;--;1074.05;1084.82;1073.6
05/26/2021;1074.05;--;1061.08;1076.92;1058.84
05/25/2021;1061.08;--;1082.56;1082.56;1059.95
05/24/2021;1082.56;--;1067.56;1083.81;1064.43
05/21/2021;1067.56;--;1068.3;1085.74;1067.12
05/20/2021;1068.3;--;1072.13;1072.58;1055.96
05/19/2021;1072.13;--;1099.12;1099.12;1058.24
05/18/2021;1099.12;--;1120.1;1124.91;1096.06
05/17/2021;1120.31;--;1099.45;1120.33;1092.35
05/14/2021;1099.45;--;1061.25;1103.25;1061.25
05/13/2021;1061.25;--;1080.43;1085.7;1048.44
5/12/21;1080.43;--;1074.91;1112.94;1074.91
5/11/21;1074.91;--;1101.8;1101.8;1065.57
5/10/21;1101.8;--;1105.09;1131.1;1101.57
5/07/21;1105.09;--;1083.22;1105.37;1069.8
5/06/21;1083.22;--;1079.4;1083.22;1057.98
5/05/21;1079.4;--;1043.24;1084.34;1043.24
5/04/21;1043.24;--;1049.19;1058.93;1032.74
5/03/21;1049.19;--;1019.85;1050.46;1019.85
04/30/2021;1019.85;--;1044.93;1045.65;1018.97
04/29/2021;1044.93;--;1036.61;1060.39;1035.64
04/28/2021;1036.61;--;1000.64;1041.13;1000.64
04/27/2021;1000.64;--;9.853.278;1003.66;9.853.278
04/26/2021;985.327;--;9.786.746;9.912.819;9.770.847
04/23/2021;978.674;--;9.676.962;982.244;9.662.067
04/22/2021;967.696;--;9.825.695;9.825.695;9.649.148
04/21/2021;982.569;--;9.688.658;9.839.147;9.547.596
04/20/2021;968.865;--;1000.17;1000.17;9.591.195
04/19/2021;1000.17;--;1001.21;1012.62;9.919.523
04/16/2021;1001.21;--;1009.03;1018.01;9.984.668
04/15/2021;1009.03;--;1019.8;1019.8;1004.93
04/14/2021;1019.8;--;1007.25;1031.83;1002.89
04/13/2021;988.284;--;987.369;9.946.009;9.814.825
4/12/21;987.369;--;9.971.117;1013.07;9.857.856
4/09/21;997.111;--;1002.2;1011.39;9.926.596
4/08/21;1002.2;--;1016.02;1016.02;9.901.782
4/07/21;1016.02;--;1011.55;1019.23;1008.06
4/06/21;1011.55;--;1011.61;1034.8;1009
4/05/21;1011.61;--;1040.68;1040.68;1005.08
4/01/21;1040.68;--;1007.45;1040.77;1007.45
03/31/2021;1007.45;--;1017.17;1018.61;1006.21
03/30/2021;1017.17;--;1021.2;1026.39;1006.09
03/29/2021;1021.2;--;1033.42;1033.42;1008.11
03/26/2021;1033.42;--;1008.05;1034;1008.05
03/25/2021;1008.05;--;1009.13;1011.01;9.723.027
03/24/2021;1009.13;--;9.816.868;1023.22;9.816.868
